mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
-526.9386,72.155556,32.538002,12.658338,3.8731818,7.584727,0.415731,-0.85661143,-13.150889,-3.7314901,-9.788256,-1.8309741,-4.7176313,0
-498.305,69.16217,16.51056,3.5431614,7.8083034,7.1525793,1.3671926,-2.7440352,-11.466814,-3.0859163,-7.062542,-3.9506817,0.14764576,0
-517.0953,77.88206,23.917063,3.416481,11.248298,20.182482,-3.6433017,-8.018546,-16.379713,1.2036529,-2.624656,-2.296039,-2.8412793,0
-500.09494,86.26572,22.728323,4.442711,7.59506,11.884991,0.008958174,-6.476218,-13.2334795,-4.767118,-13.356833,-3.6153982,-2.333452,0
-522.71075,58.203884,25.40382,13.158975,11.142283,8.161067,-2.541331,-4.419345,-14.269784,-0.7978376,-8.674738,-0.14749613,-1.4538852,0
-546.0222,77.14001,31.543232,13.523256,16.618933,8.407596,-3.8359609,-3.4454,-13.844152,-1.2169077,-3.686712,-0.5138118,-2.4123652,0
-536.2235,82.67433,32.10005,5.082251,11.644685,9.954676,-2.8888402,-4.6753774,-15.472075,-2.9678736,-6.639666,-4.572015,-4.0838985,0
-502.89975,87.7495,23.609316,0.42406577,13.283247,11.660513,-8.986125,-6.3305025,-15.195948,-3.9627404,-6.9295382,-2.0465631,-1.3143922,0
-537.8297,95.21782,27.490137,-0.84886605,3.4322605,9.030679,-2.3112168,-5.8230104,-14.124772,-1.0141169,-6.9238377,1.6945338,-0.032226805,0
-506.70975,86.54617,21.995363,-0.27787608,6.8904405,6.4436107,-5.6889033,-4.0540967,-15.244844,-4.2931113,-3.7226875,0.50100523,0.41260448,0
-531.14636,73.86065,26.205032,12.429447,14.755439,8.7564,1.1958537,-3.6190395,-15.59988,-7.387361,-13.894034,-1.3625078,-2.6077762,0
-537.7891,76.98858,29.684887,17.49497,15.872678,12.680101,-1.2332429,-6.3958592,-17.589802,-5.619743,-7.1744447,1.1599967,-1.7759005,0
-541.4832,81.87163,28.168848,7.6358795,10.259833,13.722403,-7.420215,-8.001844,-11.2625885,-2.535817,-5.9520264,-1.5156372,-2.9690773,0
-509.9408,73.12501,17.1947,12.0469265,10.930143,3.2722907,-1.2624323,-8.031313,-14.400422,-5.7223115,-11.62483,-6.4168944,-1.0440354,0
-511.86478,86.09128,21.311792,-0.23498052,10.8805895,12.698435,-8.077089,-8.361066,-16.976877,-1.7206111,-12.420291,-4.1815166,-2.2956798,0
-515.7184,86.408936,23.530508,5.9943213,11.812109,14.16684,-10.113989,-8.887254,-15.032018,-3.2313526,-6.69803,-0.87361324,-0.57704747,0
-526.0495,87.31631,29.090923,2.485417,9.499367,13.851989,-6.0335345,-9.307374,-15.156981,-1.6879842,-7.0811806,2.4145954,-0.681883,0
-537.0819,95.363266,26.040977,-4.6514554,4.1833024,15.107376,-5.1214395,-9.943038,-15.680069,0.49632594,-4.2483706,-1.6134729,0.96471584,0
